"Id";"Word";"Pronunciation";"Definition";"PartOfSpeech"
819;"feckless";"fek-less";"weak, ineffective; worthless, irresponsible";"adj"
820;"sclerotic";"skluh-ra-tik";"grown rigid or unresponsive with age; unable or reluctant to adapt or compromise";"adj"
821;"scurrilous";"skur-ih-lus";"using or given to coarse language; vulgar and evil; containing obscenities, abuse, or slander";"adj"
822;"fecund";"FEK-ind";"fruitful in offspring or vegetation, prolific; intellectually productive or inventive to a marked degree";"adj"
823;"scrupulous";"screw-pyuh-lis";"having moral integrity; acting in strict regard for what is considered right or proper; punctiliously exact, painstaking";"adj"
824;"sebum";"see-bum";"fatty lubricant matter secreted by sebaceous glands of the skin";"n"
825;"secern";"sih-surn";"to discriminate in thought, distinguish";"v"
826;"sebaceous";"sih-bay-shus";"secreting sebum; of, relating to, or being fatty material, fatty";"adj"
827;"secrete";"sih-kreet";"(of a cell, gland, or organ) produce and discharge (a substance); conceal, hide";"v"
828;"sectarian";"sek-tair-ee-in";"relating to religious or political sects and the differences between them";"adj"
829;"fecundate";"feck-in-date";"to make fecund; impregnate";"v"
830;"sedate";"sih-date";"keeping a quiet steady attitude or pace, unruffled";"adj"
831;"secular";"seh-kyoo-lur";"of or relating to the worldly or temporal; not overtly or specifically religious; not bound by monastic vows or rules";"adj"
832;"sedulous";"seh-jih-liss";"involving or accomplished with careful perseverance; diligent in application or pursuit";"adj"
833;"self-flagellation";"self-flah-jih-lay-shin";"extreme criticism of oneself; especially hurting oneself as part of a religious ritual";"n"
834;"semiotics";"see-me-ah-tiks";"a general philosophical theory of signs and symbols that deals especially with their function in both artificially constructed and natural languages and comprises syntactics, semantics, and pragmatics";"n"
835;"senescence";"sih-neh-sints";"the state of being old; the process of becoming old";"n"
836;"sepia";"see-pee-uh";"a brownish-gray to dark olive-brown color";"n"
837;"sequacious";"sih-kway-shus";"intellectually servile";"adj"
838;"sequester";"sih-kwes-tur";"to set apart, segregate; seclude, withdraw; to seize by authority of writ";"v"
839;"feldspar";"feld-spar";"an abundant rock-forming mineral typically occurring as colorless or pale-colored crystals";"n"
840;"seriatim";"sir-ee-ate-im";"in a series";"adv"
841;"sericeous";"suh-rih-shis";"covered with fine silky hair";"adj"
842;"shambles";"sham-bulz";"slaughterhouse; a place of mass slaughter or bloodshed; great confusion, mess; a scene or a state of great disorder or confusion";"n"
843;"shilly-shally";"shih-lee-shah-lee";"to show hesitation or lack of decisiveness or resolution; dawdle";"v"
844;"shirk";"sherk";"to go stealthily; to evade the performance of an obligation";"v"
845;"felt";"felt";"a cloth made of wool and fur often mixed with natural or synthetic fibers through the action of heat, moisture, chemicals, and pressure; a firm woven cloth of wool or cotton heavily napped and shrunk";"n"
846;"shoal";"shole";"a shallow; a sandbank or sandbar that makes the water shallow";"n"
847;"shofar";"sho-far";"the horn of an animal blown as a trumpet by ancient Hebrews in battle and now used during religious observances";"n"
848;"shrewd";"shrood";"marked by clever discerning awareness and hardheaded acumen; given to wily and artful ways of dealing; severe, hard; sharp, piercing";"adj"
849;"ferrule";"feral";"a ring or cap usually of metal put around a slender shaft to strengthen it or prvent splitting; a usually metal sleeve used especially for joining or binding one part to another";"n"
850;"shrewish";"shroo-ish";"ill-natured, intractable";"adj"
851;"shrub";"shrub";"a low usually several-stemmed woody plant; an aged blend of fruit juice, sugar, and spirits served chilled and diluted with water";"n"
852;"shyster";"shy-stur";"a person who is professionally unscrupulous especially in the practice of law or politics";"n"
853;"sibyl";"sih-bul";"prophetess, fortune-teller";"n"
854;"sidereal";"sigh-dare-ee-ul";"of, relating to, or expressed in relation to stars or constellations, astral";"adj"
855;"signatory";"sig-nuh-tor-ee";"someone who signs with another or others; a government bound with others by a signed convention";"n"
856;"simian";"sih-me-in";"of, relating to, or resembling monkeys or apes";"adj"
857;"simonize";"sy-muh-nize";"to polish with or as if with wax";"v"
858;"sinew";"sin-yoo";"tendon; solid resilient strength; the chief supporting force";"n"
859;"singularity";"sin-gyuh-lair-ih-tee";"unusual or distinctive manner or behavior, peculiarity";"n"
860;"fervid";"fur-vid";"very hot, burning; marked by often extreme intensity of feeling";"adj"
861;"singing voices";"singing-voices";"(highest-lowest) soprano, tenor, baritone, bass";"n"
862;"sinter";"sin-tur";"to cause to become a coherent mass by heating without melting";"v"
863;"sinuous";"sin-yoo-wis";"of a serpentine or wavy form, winding; marked by strong lithe movements; intricate, complex";"adj"
864;"sisyphean";"sih-suh-fee-in";"(of a task) such that it can never be completed (rolling boulder up a hill guy Sisyphus)";"adj"
865;"fervor";"fur-ver";"intensity of feeling or expression; intense heat";"n"
866;"skein";"skane";"loosely coiled length of yarn or thread wound on a reel; something suggesting the twists or coils of a skein, tangle";"n"
867;"skirl";"skur-il";"to play music on the bagpipe";"v"
868;"slake";"slake";"satisfy, quench; to cause (a substance, such as lime) to heat and crumble by treatment with water, hydrate";"v"
869;"skosh";"skoash";"a small amount";"n"
870;"slapdash";"slap-dash";"done or made without careful planning";"adj"
871;"festinate";"fes-tih-nate";"hasten";"v"
872;"slavish";"slay-vish";"copying obsequiously or without originality; basely or abjectly servile";"adj"
873;"sleazy";"slee-zee";"marked by low character or quality";"adj"
874;"sleuth";"slooth";"to act as a detective; search for information; to search for and discover";"v"
875;"slew";"sloo";"to turn something about a fixed point that is usually the axis; to cause to skid, veer";"v"
876;"fete";"fate";"festival; a lavish often outdoor entertainment; a large elaborate party";"n"
877;"slew";"sloo";"a large number";"n"
878;"slimsy";"slim-zee";"flimsy, frail";"adj"
879;"sloven";"sluh-vin";"one habitually negligent of neatness or cleanliness especially in personal appearance";"n"
880;"slumgullion";"slum-gul-yin";"a meat stew";"n"
881;"fey";"fay";"marked by a foreboding of death or calamity; able to see into the future, visionary; marked by an otherworldly air or attitude; excessively refined, precious; quaintly unconventional";"adj"
882;"snipe";"snipe";"a contemptible person";"n"
883;"sniptious";"snip-shis";"attractive, smart, fine";"adj"
884;"sojourn";"so-jurn";"to stay as a temporary resident, stop";"v"
885;"soi-disant";"swah-dee-zahn";"self-proclaimed, so-called";"adj"
886;"solar plexus";"so-ler-plek-sis";"the pit of the stomach; the part of the abdomen including the stomach that is particularly vulnerable to the effects of a blow to the body wall in front of it";"n"
887;"solicitous";"suh-lih-sih-tus";"manifesting or expressing concern and anxiety; full of concern or fears; meticulously careful; full of desire, eager";"adj"
888;"solicitude";"suh-lis-ih-tood";"the state of being concerned and anxious; attentive care and protectiveness; an attitude of earnest concern or attention";"n"
889;"somatic";"so-mah-tik";"of, relating to, or affecting the body; of or relating to the wall of the body";"adj"
890;"sophistic";"sah-fis-tik";"plausible but fallacious";"adj"
891;"fibromyalgia";"fie-bro-my-al-juh";"a chronic disorder characterized by widespread pain, tenderness, and stiffness of muscles and associated connective tissue structures that is typically accompanied by fatigue, headache, and sleep disturbances";"n"
892;"sorb";"sorb";"to take up and hold by either adsorption or absorption";"v"
893;"sophistry";"sah-fis-tree";"the use of fallacious arguments, especially with the intention of deceiving; a fallacious argument";"n"
894;"sordid";"sore-did";"marked by baseness or grossness, vile; dirty, filfthy, wretched, squalid; meanly avaricious, covetous; of a dull or muddy color";"adj"
895;"spasmodic";"spaz-mah-dik";"acting or proceeding fitfully, intermittent; subject to outbursts of emotional excitement, excitable; relating to or affected or characterized by spasm; resembling a spasm especially in sudden violence";"adj"
896;"spastic";"spah-stik";"of, relating to, characterized by, or affected with or as if with spasm";"adj"
897;"spavined";"SPAH-vind";"affected with swelling; old and decrepit";"adj"
898;"specious";"spee-shis";"having deceptive attraction or allure; having a false look of truth or genuineness, sophistic";"adj"
899;"spiel";"shpeel";"a voluble line of often extravagant talk; a speech delivered especially to sell or promote something";"n"
900;"splenetic";"splih-neh-tik";"marked by bad temper, malevolence, or spite";"adj"
901;"spoof";"spoof";"decieve, hoax; to make good-natured fun of | (n.) a light humorous parody";"v"
902;"sprightly";"sprite-lee";"marked by gay lightness and vivacity, spirited; having a distinctively piquant taste, zesty";"adj"
903;"spurious";"spyur-ee-is";"of illegitimate birth, bastard; outwardly similar or corresponding to something without having its genuine qualities, false; of falsified or erroneously attributed origin, forged; of a deceitful nature or quality";"adj"
905;"staccato";"stuh-kah-toh";"cut short or apart in performing, disconnected; abrupt, disjointed";"adj"
906;"staid";"staid";"marked by settled sedateness and often prim self-restraint, sober, grave";"adj"
907;"starboard";"star-burd";"right side of ship";"n"
908;"staunch";"staunch";"to check or stop the flowing of; to stop or check in its course; to make watertight, stop up";"v"
909;"star-crossed";"star-krost";"not favored by the stars, ill-fated, luckless";"adj"
910;"stark";"stark";"rigid in or as if in death; rigidly conforming (as to a pattern or doctrine), absolute; utter, sheer; barren, desolate; harsh, blunt";"adj"
911;"staunch";"staunch";"steadfast in loyalty or principle; watertight, sound; strongly built, substantial";"adj"
912;"stay";"stay";"a large strong rope usually of wire used to support a mast";"n"
913;"steric";"stair-ik";"relating to or involving the arrangement of atoms in space, spatial";"adj"
914;"stipple";"stih-pul";"to engrave by means of dots and flicks; to apply something by repeated small touches; speckle, fleck";"v"
915;"stipulation";"stih-pyoo-lay-shin";"a condition, requirement, or item specified in a legal instrument";"n"
916;"stodgy";"stah-jee";"having a rich filling quality, heavy; moving in a slow plodding way; boring, dull; extremely old-fashioned";"adj"
917;"stoic";"stoh-ik";"not affected by or showing passion or feeling; firmly restraining response to pain or distress";"adj"
918;"fidelity";"fih-del-ih-tee";"the quality or state of being faithful";"n"
919;"stolid";"stah-lid";"calm, dependable, and showing little emotion or animation; unemotional";"adj"
920;"strapping";"strah-ping";"having a vigorously sturdy constitution; big and strong";"adj"
921;"stratagem";"strah-tih-jem";"an artifice or trick in war for deceiving and outwitting the enemy; a cleverly contrived trick or scheme for gaining an end; skill in ruses or trickery";"n"
